"Eres demasiado listo e inteligente",ELOGIO
"Que fecha es hoy?",PREGUNTA
"El día de hoy es caluroso",OTRO
"Tu casa es inmensa, me encanta",ELOGIO
"Cuánto pesas tu? ",PREGUNTA
"El autobús aún no ha llegado",OTRO
"Tu eres mi VIDA",ELOGIO
"Hiciste la tarea?",PREGUNTA
"la noche sigue al día",OTRO
"que bonita forma de pensar",ELOGIO
"a que te refieres?",PREGUNTA
"que tengas lindo dia",OTRO
"eres alguien bastante alegre ",ELOGIO
"como sabes lo que necesitamos",PREGUNTA
"El amor es la amistad en llamas",OTRO
"Eres muy inteligente",ELOGIO
"¿Te esfuerzas lo suficiente?",PREGUNTA
"El cielo está despejado",OTRO
"Que bien te ves!!",ELOGIO
"Cómo estuvo tu día?",PREGUNTA
"Lo mejor esta por llegar.",OTRO
"upa que bella",ELOGIO
"Que le pasa mire que lo he visto",PREGUNTA
"venga que quiero compartir con usted",OTRO
