"2018/04/21 8:14:44 p. m. GMT-4","la ULA es lo maximo ","algun dia nos graduaremos?","me gusta mi carrera!!","la chica que me gusta es de la facultad de ciencias","que fastidio todo lo que pasa en el pais ","no se como sentirme con las elecciones venideras "
"2018/04/21 8:16:11 p. m. GMT-4","Eres inteligente","Te pasa algo","La cocina está limpia","Todo saldrá bien","Todo saldrá mal","No existen los sentimientos neutrales"
"2018/04/21 8:19:45 p. m. GMT-4","Que música te guata? ","Como se llama tu amigo? ","Tienes auto? ","Hola,  que tengas un muy lindo día en tu trabajo ","Nadie te pidió que hablaras ","Que opinas sobre el conflicto en siria? "
"2018/04/21 8:33:56 p. m. GMT-4","Eres muy especial ","Como estas hoy?","Es bueno hacer ejercicio","Siempre puedes lograr tus metas si empleas el tiempo y esfuerzo  necesario para alcanzarlas, y piensas de manera positiva...","La tristeza es un sentimiento humano, a veces es difícil de superar, a  pesar de intentarlo.","A veces las cosas pasan porque simplemente así es la vida, no es bueno  ni malo, solo es algo que ocurre ."
"2018/04/21 8:41:12 p. m. GMT-4","la curva más hermosa, tu sonrisa","y si te quedas por siempre?","mi felicidad esta en un helado","mañana será mucho mejor si todos nos llenamos de esperanza","si nuestro esfuerzo es en vano, de nada valió la pena luchar","vamos a recorrer la carretera viendo las nubes moverse a nuestro lado."
"2018/04/21 8:43:49 p. m. GMT-4","Eres una persona muy pura","Te gusta la comida?","Me gustaria conocer el mundo","Me siento muy bien cuando conozco personas nuevas y divertidas ","No me gusta el chocolate ni ningún tipo de comida dulce ","Me siento satisfecho cuando realizo por completo mis actividades y deberes"
"2018/04/21 8:45:41 p. m. GMT-4","Me gusta tu andar despacio","como te has sentido después del medicamento?","He estado bastante nostalgica estos ultimos días","cada vez que te sientas desolado, toma un respiro , reemplantea sobre lo que se trata la vida, y sigue!","ultimanente has estado demasiado enfadado si sigues así la ira te dominara","has tenido muchos logros esta semana, no te desalientes pero tampoco te confies"
"2018/04/21 8:49:32 p. m. GMT-4","Eres una persona muy pura ","¿Te gusta mucho la musica?","No me gusta bailar salsa","Me siento muy bien cuando conozco gente nueva y divertida ","No me cae bien la gente que no le gusta el chocolate ","Me siento satisfecha cuando realizo completamente todas mis actividades y deberes "
"2018/04/21 8:56:33 p. m. GMT-4","estas muy bella ","estas bien?","no estoy","soy feliz comigo mismo ","no sali bien en mi examen ","esta bien, no hay problema"
"2018/04/21 8:57:14 p. m. GMT-4","Eres muy organizado","Donde iras esta noche","me encanta el helado","la solidaridad consiste en el apoyo y la aceptación de quienes queremos ","La envidia es el sentimiento mas oscuro del ser humano, pues lo guarda con recelo","El respeto envuelve la prudencia en el actuar y el hablar "
"2018/04/21 8:58:14 p. m. GMT-4","Dios nos ama a todos","te amas a ti mismo?","ama cada dia es una oportunidad","Debemos ayudarnos unos a los otros sin esperar nada a cambio","No permitas que una persona tóxica influya en ti.","La felicidad depende de tu actitud. Eso depende de ti"
"2018/04/21 9:24:39 p. m. GMT-4","Te felicito por tu conocimiento","Que es el verdadero amor","En su presencia hay plenitud ","Dios tiene el control de todo y tiene un plan perfecto en el cual Venezuela vera su gloria ","No pueden avanzar por que sus mentes estan contaminadas y llenas de maldad","Si todo te da igual estas haciendo las cuentas mal "
"2018/04/21 9:49:46 p. m. GMT-4","Esa ropa te queda perfecto","¿Te sientes bien?","La películo duró dos horas","Me pongo alegre cuando bailo","Me enfado cuando alguien golpea a otra persona","No pasa nada cuando alguien no te habla"
"2018/04/21 9:52:27 p. m. GMT-4","Eres muy inteligente","¿Cómo te llamas?","Estaba de camino a casa","Caminado por la calle me alegré mucho al verte hoy","Como odio ver la destrucción que ha causado el gobierno en este país","Camino a casa me tropece con un arbor muy grande"
"2018/04/21 10:05:08 p. m. GMT-4","Que hermosura","Que haces ?","La locura","La vida hay que vivirla y no dejarla pasar","Eres lo peor que le ha pasado a mi vida","Parece que eso sera lo que va pasar"
"2018/04/21 10:30:02 p. m. GMT-4","¡Eres fantástica!","¿Estás preparado?","Siempre amanece","Eventualmente todo en la vida tiene sentido, todo se conecta, y en ese momento entiendes el por qué de todo. ","Hay días en los que no siento la esperanza de siempre con respecto a nuestro país","El calentamiento global amenaza nuestras ciudades y poblaciones rurales, y aún muchos gobiernos y ciudadanos niegan su existencia."
"2018/04/21 10:42:32 p. m. GMT-4","eres grande ","de donde eres ","el juego de beisbol","La amor es la clave del éxito","No me gusta el odio ","Establecer relaciones con mi amigo"
"2018/04/21 11:13:07 p. m. GMT-4","Cocinas muy rico","Que vamos a comer? ","Me gustan los dulces","Acabo de comer torta de chocolate y me siento muy feliz ","No he comido en todo el día y eso me hace sentir molesta ","No se que comeré mañana,  pero espero comer dulces "
"2018/04/21 11:15:57 p. m. GMT-4","Eres una persona fantástica","Cómo te sientes está mañana?","Deberías leer más sobre ese tema.cuabdo actuamos","Cuando actuamos en congruencia con nuestros sentimientos y pensamientos, la satisfacción hacia nosotras mismas se convierte en una caricia a la autoestima.","Vivir a diario frustración y desamparo social genera, poco a poco, que la desesperanza se convierta en un sentimiento natural y caemos en apatía social y política.","La sociedad es el lugar de nuestra realización como seres capaces de ejercer la ciudadanía, de allí que es necesario vque la escuela nos prepare para ese ejercicio. "
"2018/04/21 11:25:22 p. m. GMT-4","Bonita","Cuando es tu grado?","Vida","Optimista ","Pesimistas","Efímero"
"2018/04/21 11:27:24 p. m. GMT-4","Tu ternura alegra mi existir","Que pasó en tu vida.?","Un amanecer tranquilo ","Con los amigos la vida es hermosa y hay que disfrutarla siempre","El dolor y el desengaño acaban con los buenos sentimientos amorosos","Las avenidas de esta ciudad son angostas obscuras y muy largas "
"2018/04/22 12:23:41 a. m. GMT-4","Me encanta tu personalidad divertida.","¿Estás en busca de la felicidad?","Todo está en tu mente.","Cerrar ciclos, soltar o dejar ir para liberarte y volver a vivir. Para viajar liviano y sin tanto peso en el corazón. Cierra tus ojos, respira profundo y deja que la vida fluya; descubre que con el paso del tiempo todo pasa. No todo saldrá bien, pero como siempre... Tu sobrevivirás a todo.","Algún día vas a conocer a alguien que conozca como masticas, como bebes a sorbos, como bailas cuando nadie te ve, como te ves sin peinar, como te emocionan las pequeñas cosas y todas tus manías. ¿Y sabes qué? Te va a dejar.","Nada se va hasta que nos haya enseñado lo que necesitamos saber."
"2018/04/22 12:27:07 a. m. GMT-4","Buen trabajo","Como va eso","La vaca mariposa tuvo internet","Hoy soy mejor que ayer","No podre hacerlo","Me da igual si vienes"
"2018/04/22 1:08:47 a. m. GMT-4","Tu eres marico","¿Tu eres marico?","You are marico","Yes, you are very marico","Se nota lo marico que eres","Marico"
"2018/04/22 3:30:15 a. m. GMT-4","hola, que guapo estas hoy"," ¿será qué llueve hoy?","el gato tiene hambre","Cree en ti y todo lo podrás conseguir.","La avaricia y el egoísmo son perjudiciales","Ni blanco ni negro todo es gris"
"2018/04/22 6:39:44 a. m. GMT-4","Eres un Ángel","Cómo estás?","La vida es placentera","Entre las grandes y maravillosas cosas de la vida estás tú","Es imposible establecer una comunicación asertiva con personas personas tan negativas como tú","Las bases que fortalecen la vida es la paz, el amor y la unión."
"2018/04/22 7:23:38 a. m. GMT-4","La película es buenísima.","¿Acaso tienes hambre?.","¡Levántate y aplaude! Los artistas se lo merecen.","¡Estoy en mi mejor momento, he alcanzado todo lo que había soñado! Tengo mi casa ideal, un esposo espectacular, dos hermosos hijos y mi trabajo es sensacional, no parece que estuviera trabajando sino disfrutando.","Mi perrita ayer se perdió y pase todo el día buscándola, nada que aparece. Por favor ayúdame a encontrarla que estoy muy preocupada por ella. ","Ciertos expertos recomiendan el ejercicio para estar saludables y mantenerse en forma, yo recomiendo escuchar el cuerpo y hacer lo que el pida y necesite, puede ser ejercicio o simplemente puede ser acostarse a contemplar las estrellas. Complaces tu ser y estas saludable. "
"2018/04/22 3:55:39 p. m. GMT-4","eres muy apuesto","recuerdas cuando nos conocimos","me gusta mucho el chocolate","no hay día tan malo que un buen chocolate caliente y un abrazo no puedan arreglar","no hay agua, no hay luz, no tenemos gas, el salario no alcanza","al salir pasare por la calle dos, cruzando con la av bolivar, antes de cantv"
"2018/04/22 4:49:41 p. m. GMT-4","eres muy interesante","Donde vives tu","Hoy es un dia lluvioso","Hoy aprobe todos mis examenes con buena calificaciones","No me gusta este día","Estoy indeciso si ir a la biblioteca o estudiar con mi amiga"
"2018/04/22 4:56:15 p. m. GMT-4","Que hermoso esta tu cabello","Que edad tiene tu madre","El almuerzo está listo","Me gusta cuando voy de compras","Odio levantarme temprano para asistir a clases","Este día en particular ha sido el más frió de todos"
"2018/04/22 5:10:37 p. m. GMT-4","Te ves muy guapo","¿Como estas hoy?","¡Que sopa tan rica!","Disfruta cada día al máximo","Tu no puedes hacerlo","Hoy quisiera salir,  pero esta lloviendo "
"2018/04/22 5:27:08 p. m. GMT-4","Que linda estas hoy","Que vas a hacer hoy? ","Vamos de paseo","Que grandioso es estar vivo,  gracias señor por darnos la oportunidad de un nuevo día. ","Me molesta mucho que las personas se sientan con derecho a opinar sobre mi vida","Por más que intento acostumbrarme a lo metidas que pueden ser las personas,  no lo logro"
"2018/04/22 5:47:21 p. m. GMT-4","Que intelintegente eres hijo mio","Hola como estas este dia? ","Eres mi orgullo te amo ","En este bello dia te deseo exitos y mycha prosperidad","Hoy te digo que no sirves para nada no vengas","Hoy estamos aqui mañana no sabemos que va a pasar "
"2018/04/22 6:01:01 p. m. GMT-4","Tu eres una persona espectacularCuá","Cuál es tu nombre?","Me gustan los días lluviosos","Dios es amor, nos cuida a pesar de las adversidades","Nuestra Venezuela está pasando por muchos problemas en su economía","Yo amo a mis dos hijos por igual con todo el corazón"
"2018/04/22 6:12:04 p. m. GMT-4","Te quiero a mi lado ","En que pais vives","Estoy feliz por mi cumpleaños","Mi dios GRACIAS por la vida,salud y alimentos","Ya no quiero estar a tu lado","Salimos a comer torta"
"2018/04/22 6:16:22 p. m. GMT-4","Que creativo eres ","quien eres","Dios es amor","Todo lo puedo en Cristo que me fortalece","Soy malo para las matematicas","hoy es el día de la tierra"
"2018/04/22 6:18:45 p. m. GMT-4","Eres muy inteligente ","¿Eres muy grande?","Se siempre el mejor","Supérate a diario","Eres el peor si no te esfuerzas","Eres una persona común y corriente "
"2018/04/22 6:22:30 p. m. GMT-4","Te estas portando muy bien","¿Que día es tu cumpleaños?","Estoy en la casa trabajando","Que felicidad este año viajo a Europa, África y América","Que situación tan difícil esta pasando Fabricio y la mamá","Mañana voy al cine con María, José, Pedro y Karina"
"2018/04/22 6:35:09 p. m. GMT-4","Bien hecho campeón","Cómo podría mejorar en programación","Tengo bastante hambre hoy","Me siento feliz de haber sacado buenas notas este semestre","Porque no puedo entender nada de lo que me pasa a diario","No tengo forma de predecir muchas cosas que pasan a mi alrededor pero no me preocupa tanto"
"2018/04/22 6:42:42 p. m. GMT-4","Siempre me gusta ver viedos en la Pc","¿te gusta jugar en el Xbox?","genial es hacer vídeos para Youtube ","Siempre estoy Feliz cuando viajo a ver a mi toda mi familia ","No me gusta estar en merida por el motivo que me siento solo casi siempre y no me siento agusto","estudiar para los exámenes es algo que siempre me toca hacer los fines de semana"
"2018/04/22 6:47:43 p. m. GMT-4","linda","quiere","siempre","Salír de maduro","No salir de maduro","Salir a trabajar "
"2018/04/22 7:03:34 p. m. GMT-4","Es un honor haber venido","¿Estas dispuesto a hacerlo?"," ¡Vaya que ha pasado tiempo!","Nuestra  vida no esta escrita, somos nuestros propios guionistas","Lineas perpendiculares se tocan en un punto, alejadas al infinito ","No olvides quien eres, el mundo no lo hará."
"2018/04/22 9:01:13 p. m. GMT-4","Te ves bien","Qué fecha es hoy?","hoy es domingo","Eso es bueno","es terrible","entendido"
"2018/04/22 9:02:02 p. m. GMT-4","¡Felicitaciones lo están haciendo bien!","¿Podría participar en su proyecto?","La política del fracaso fracaso","¡Logre subir en un bus sentado a la facultad y llegue a tiempo!","Voces en mi cabeza me dicen que voy a terminar muerto","A veces escucho las noticias en la radio por la mañana "
"2018/04/22 11:50:41 p. m. GMT-4","te ves lindo","que dia es hoy","mañana tengo mucho que hacer","Todo lo hace Dios confía en el","La semana pasada fue estresante","Hoy viaje con mis padres"
"2018/04/23 4:47:57 a. m. GMT-4","Ella es extraordinaria","¿Te encuentres bien?","La felicidad es el camino","El dolor es temporal. Rendirte es para siempre.

","Que pedazez ver esa materia con aquel profesor malo","Al menos terminamos a tiempo dicha asignación"
"2018/04/23 8:28:38 a. m. GMT-4","me caes muy bien","cómo vas con la tesis?","tengo mucha hambre","Me siento muy afortunado de tenerte aquí justo a mi lado","Odio a aquellos profesores que creen sabérselas todas y son muy malos dando clases","El día de hoy se puede ir a hacer compras en el supermercado sin hacer mucha cola"
"2018/04/23 4:08:46 p. m. GMT-4","Que buen trabajo hizo. ","Eso debería ser así?","Esto esta mal hecho.","Todo esto cambiara muy pronto, para bien. ","De seguro les fue mal a todos. ","Ayer me he comprado una empanada. "
"2018/04/23 8:38:48 p. m. GMT-4","Excelente trabajo de hoy.","¿Hice bien el programa?","Estuvieron bien los ejercicios.","Recuerda dar el máximo cada día de tu vida.","Quizás no fue lo mejor, pero gracias por tanto.","Concéntrate y haz lo mejor que puedas."
"2018/04/23 10:21:21 p. m. GMT-4","Que hermosa estás hoy","Qué hora es","Las paredes son blancas","Mi profesora es genial y es una excelente educadora ","No puedo hacerlo, no confío en mi mismo","Las clases de piano comienza el lunes a las diez de la mañana"
"2018/04/23 10:25:31 p. m. GMT-4","Tu ensalada está buena","Por qué maduro sigue siendo presidente","Tengo dos gatos ","El autobús vendrá pronto y podremos irnos","Es culpa mía que no haya pasado el examen. Todo por no escuchar","El televisor está haciendo  un sonido extraño desde medio día."
"2018/04/24 12:00:39 a. m. GMT-4","Eres demasiado listo e inteligente","Que fecha es hoy?","El día de hoy es caluroso","La película estuvo increíble, fue emocionante verla en el cine","El día es muy corto y no me alcanza para hacer todos mis deberes ","La luna particularmente hoy luce más blanca"
"2018/04/24 12:03:38 a. m. GMT-4","Tu casa es inmensa, me encanta","Cuánto pesas tu? ","El autobús aún no ha llegado","Me encantó el regalo que me obsequiaste para mi cumpleaños","Odio cuando la gente me hace esperar","La materia no se crea ni se destruyen solo se transforma"
"2018/04/24 8:12:08 p. m. GMT-4","Tu eres mi VIDA","Hiciste la tarea?","la noche sigue al día","nos recompensan por tener la respuesta","somo nuestros actos, somos nuestras consecuencias","Nada es Verdad, todo esta permitido"
"2018/04/25 12:50:30 p. m. GMT-4","que bonita forma de pensar","a que te refieres?","que tengas lindo dia","Cada día esta lleno de nuevas oportunidades, así que aprovechalas","Me molesta la forma en como tu respondes mis preguntas ","La montaña es de color verde claro como mis ojos"
"2018/04/26 4:02:27 p. m. GMT-4","eres alguien bastante alegre ","como sabes lo que necesitamos","El amor es la amistad en llamas","Si está en tu mente, puedes convertirlo en real"," El que teme sufrir, sufre de temor","hay momentos en que puedo ver caer a la lluvia"
"2018/04/29 10:36:47 a. m. GMT-4","Eres muy inteligente","¿Te esfuerzas lo suficiente?","El cielo está despejado","Cada día que pasa estoy más cerca de cumplir mis metas, de cumplir mis sueños","Ya no soporto tener que escuchar todos tus insultos y humillaciones que me haces cada vez que te veo","Un pajarito un día volaba en cielo azul buscando comida "
"2018/04/29 10:27:48 p. m. GMT-4","Que bien te ves!!","Cómo estuvo tu día?","Lo mejor esta por llegar.","Nunca es demasiado tarde para hacer lo que ames.","Nunca pensé que en la felicidad hubiera tanta tristeza.","Sigue tus sueños ellos saben el camino."
"2018/05/06 10:14:17 p. m. GMT-4","upa que bella","Que le pasa mire que lo he visto","venga que quiero compartir con usted","Sigamos dando lo mejor cada dia y que nada nos detenga","que mierda no sirves pero ni para recojer la escoria","que bien me alegro por todos espero que sea asi de igual siempre"
